书籍名称等信息,评分,评价人数
失控 : 全人类的最终命运和结局 纸质版 70.40 元起,8.8,11012,
浪潮之巅 纸质版 41.30 元起,9.1,16447,
创业维艰 : 如何完成比难更难的事 纸质版 31.00 元起 去看电子版,8.4,4175,
黑客与画家 : 硅谷创业之父Paul Graham文集 纸质版 41.70 元起 去看电子版,8.8,12733,
必然 纸质版 44.20 元起 去看电子版,8.5,2532,
从0到1 : 开启商业与未来的秘密 纸质版 27.00 元起 去看电子版,7.6,12532,
重新定义公司 : 谷歌是如何运营的 纸质版 31.00 元起 去看电子版,8.2,2721,
启示录 : 打造用户喜爱的产品 纸质版 30.60 元起,8.5,3848,
游戏改变世界 : 游戏化如何让现实变得更美好 纸质版 47.30 元起,8.1,2087,
大数据时代 : 生活、工作与思维的大变革 纸质版 39.90 元起,7.6,11796,
精益创业 : 新创企业的成长思维 纸质版 31.00 元起 去看电子版,8.4,2790,
长尾理论,7.7,10535,
人人都是产品经理 纸质版 29.30 元起 去看电子版,7.7,5799,
参与感 : 小米口碑营销内部手册 纸质版 40.60 元起 去看电子版,7.5,6100,
Facebook效应 : 看Facebook如何打造无与伦比的社交帝国 纸质版 37.40 元起,7.9,4466,
用户体验的要素 : 以用户为中心的Web设计 纸质版 17.50 元起,8.2,3397,
未来是湿的 : 无组织的组织力量 纸质版 31.84 元起,7.5,2297,
结网 : 互联网产品经理改变世界,7.9,3010,
免费 : 商业的未来 纸质版 25.40 元起 去看电子版,7.6,3222,
周鸿祎自述 : 我的互联网方法论 纸质版 32.90 元起 去看电子版,7.6,3560,
重来 : 更为简单有效的商业思维 纸质版 30.60 元起 去看电子版,8.3,5893,
数学之美 纸质版 43.00 元起,8.7,7273,
三双鞋 : 美捷步总裁谢家华自述 纸质版 23.30 元起,8.3,2280,
罗辑思维 : 有种、有趣、有料 纸质版 21.60 元起,7.2,3107,
简约至上 : 交互式设计四策略 纸质版 29.80 元起,8.4,3862,
打造Facebook : 亲历Facebook爆发的5年 纸质版 30.30 元起 去看电子版,7.6,2078,
世界是平的 : 21世纪简史 纸质版 36.40 元起,7.7,12996,
史蒂夫·乔布斯传 纸质版 51.00 元起 去看电子版,8.7,24719,
微博：改变一切 纸质版 21.00 元起,5.8,2896,
点石成金 : 访客至上的网页设计秘笈 纸质版 27.30 元起,8.5,5623,
世界因你不同 : 李开复自传 纸质版 20.86 元起,8.1,23235,
深入理解计算机系统,9.5,2425,
数学之美 纸质版 43.00 元起,8.7,7273,
算法导论（原书第2版） 纸质版 55.25 元起,9.4,4522,
C程序设计语言 : 第 2 版·新版 纸质版 21.80 元起,9.4,3598,
编程之美 : 微软技术面试心得 纸质版 34.00 元起 去看电子版,8.4,2814,
鸟哥的Linux私房菜 : 基础学习篇 纸质版 61.90 元起 去看电子版,9.1,2057,
UNIX环境高级编程 : 第2版 纸质版 86.20 元起,9.4,2017,
Java编程思想 （第4版） 纸质版 71.30 元起,9.1,2537,
设计模式 : 可复用面向对象软件的基础 纸质版 29.20 元起,9.1,2448,
代码大全（第2版） 纸质版 108.80 元起,9.3,3179,
Head First 设计模式（中文版） 纸质版 67.40 元起,9.2,2173,
软件随想录 : 程序员部落酋长Joel谈软件 纸质版 36.75 元起,8.7,2101,
代码大全（第2版） 纸质版 108.80 元起,9.3,3179,
深入理解计算机系统,9.5,2425,
C程序设计语言 : 第 2 版·新版 纸质版 21.80 元起,9.4,3598,
算法导论（原书第2版） 纸质版 55.25 元起,9.4,4522,
Java编程思想 （第4版） 纸质版 71.30 元起,9.1,2537,
黑客与画家 : 硅谷创业之父Paul Graham文集 纸质版 41.70 元起 去看电子版,8.8,12733,
UNIX环境高级编程 : 第2版 纸质版 86.20 元起,9.4,2017,
C++ Primer 中文版（第 4 版） 纸质版 71.28 元起,9.2,4033,
编程之美 : 微软技术面试心得 纸质版 34.00 元起 去看电子版,8.4,2814,
设计模式 : 可复用面向对象软件的基础 纸质版 29.20 元起,9.1,2448,
Head First 设计模式（中文版） 纸质版 67.40 元起,9.2,2173,
软件随想录 : 程序员部落酋长Joel谈软件 纸质版 36.75 元起,8.7,2101,
人月神话 纸质版 19.40 元起,8.4,2655,
